ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
00PA,heliport,R J D Heliport,402.0,None,US,US-PA,Coatesville,00PA,None,00PA,"-75.74690246582031, 39.94889831542969"
00TS,small_airport,Alpine Range Airport,670.0,None,US,US-TX,Everman,00TS,None,00TS,"-97.24199676513672, 32.607601165771484"
00VA,small_airport,Vaughan Airport,551.0,None,US,US-VA,Alton,00VA,None,00VA,"-78.9991684, 36.57600021"
01MA,heliport,Compaq Andover Heliport,140.0,None,US,US-MA,Andover,01MA,None,01MA,"-71.18009948730469, 42.625099182128906"
01MD,seaplane_base,Annapolis Seaplane Base,None,None,US,US-MD,Annapolis,01MD,None,01MD,"-76.456001, 38.999199"
01ME,seaplane_base,Saint Peter's Seaplane Base,608.0,None,US,US-ME,Portage Lake,01ME,None,01ME,"-68.50029754638672, 46.778900146484375"
01PN,small_airport,Bierly(Personal Use) Airport,960.0,None,US,US-PA,Bellefonte,01PN,None,01PN,"-77.73889923095703, 40.930599212646484"
01TA,heliport,Thirty Thirty Matlock Office Center Heliport,630.0,None,US,US-TX,Arlington,01TA,None,01TA,"-97.11579895019531, 32.69419860839844"
01WT,heliport,Odyssey Heliport,20.0,None,US,US-WA,Renton,01WT,None,01WT,"-122.210908, 47.518178"
02AR,closed,Three Rivers Airport,264.0,None,US,US-AR,Little Rock,None,None,None,"-92.44442, 34.822445"
02AZ,closed,Winchester Farm Airstrip,4200.0,None,US,US-AZ,Willcox,None,None,None,"-109.936996, 32.376401"
02FA,small_airport,Osborn Airfield,121.0,None,US,US-FL,Groveland,02FA,None,02FA,"-81.87480163574219, 28.52669906616211"
02LA,heliport,La State Police Troop G Heliport,168.0,None,US,US-LA,Bossier City,02LA,None,02LA,"-93.66020202636719, 32.53129959106445"
02ME,small_airport,Nadeau's Airfield,700.0,None,US,US-ME,Acton,02ME,None,02ME,"-70.929397, 43.5373"
02MT,closed,Barrett Field,3350.0,None,US,US-MT,Cascade,None,None,None,"-111.74304, 47.2374"
02TA,heliport,Matagorda Shore Facility Heliport,5.0,None,US,US-TX,Matagorda,02TA,None,02TA,"-95.8738021850586, 28.721399307250977"
02XS,closed,Seidel Ranch Airport,510.0,None,US,US-TX,Elroy,02XS,None,02XS,"-97.662804, 30.147699"
03LS,heliport,Fmc Nr 1 Heliport,79.0,None,US,US-LA,Winnsboro,03LS,None,03LS,"-91.70800018310547, 32.159000396728516"
03N,small_airport,Utirik Airport,4.0,OC,MH,MH-UTI,Utirik Island,K03N,UTK,03N,"169.852005, 11.222"
04AL,heliport,Anniston AHP (Anniston Army Depot),686.0,None,US,US-AL,Anniston,04AL,None,04AL,"-85.96720123, 33.62639999"
04FD,heliport,Tampa General Hospital Brandon Healthplex Heliport,37.0,None,US,US-FL,Brandon,04FD,None,04FD,"-82.336981, 27.929372"
04IL,small_airport,Schertz Aerial Service - Hudson Airport,755.0,None,US,US-IL,Hudson,04IL,None,04IL,"-89.0070037842, 40.6375007629"
04TE,heliport,Veterans Affairs Medical Center Heliport,49.0,None,US,US-TX,Houston,04TE,None,04TE,"-95.38739776610001, 29.700199127199998"
