Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AQN,Algonquin Power & Utilities Corp. Common Shares,$15.78,0.32,2.07%,9654858807.0,None,2016.0,2330415,Public Utilities,Electric Utilities: Central
AQUA,Evoqua Water Technologies Corp. Common Stock,$33.27,0.4,1.22%,3989087373.0,United States,2017.0,667626,Capital Goods,Office Equipment/Supplies/Services
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,$26.26,-0.07,-0.27%,None,United States,None,2709,None,None
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,$42.04,0.25,0.60%,13570552316.0,None,2013.0,1303656,Consumer Services,Real Estate Investment Trusts
ALX,Alexander's Inc. Common Stock,$279.96,0.51,0.18%,1429836908.0,United States,None,6642,Consumer Services,Real Estate Investment Trusts
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,$15.96,-0.02,-0.13%,365722426.0,United States,2012.0,51415,Finance,Investment Managers
ARGO,Argo Group International Holdings Ltd.,$51.48,0.77,1.52%,1791646548.0,Bermuda,None,186352,Finance,Specialty Insurers
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,$99.98,1.51,1.53%,4724764458.0,United States,None,193533,Health Care,Assisted Living Services
ANTM,Anthem Inc. Common Stock,$384.33,4.4,1.16%,93705603428.0,United States,None,708050,Health Care,Medical Specialities
AMAM,Ambrx Biopharma Inc. American Depositary Shares (each representing seven Ordinary Shares),$20.10,-1.89,-8.60%,757156046.0,None,2021.0,37447,None,None
APO^B,Apollo Global Management Inc 6.375% Series B Preferred Shares,$27.12,0.0786,0.29%,None,United States,None,13298,None,None
AOS,A.O. Smith Corporation Common Stock,$70.43,1.03,1.48%,11300933054.0,United States,None,979111,Capital Goods,Industrial Machinery/Components
ARLO,Arlo Technologies Inc. Common Stock,$6.29,0.01,0.16%,511222128.0,United States,2018.0,507284,Miscellaneous,Diversified Manufacture
ASA,ASA  Gold and Precious Metals Limited,$22.12,0.62,2.88%,426692699.0,United States,None,44351,Basic Industries,Precious Metals
ASB,Associated Banc-Corp Common Stock,$19.93,0.33,1.68%,3046599450.0,United States,None,1781049,Finance,Major Banks
ASC,Ardmore Shipping Corporation Common Stock,$3.39,0.04,1.19%,116493567.0,None,2013.0,210562,Transportation,Marine Transportation
APG,APi Group Corporation Common Stock,$23.17,0.24,1.05%,4663709200.0,None,2020.0,717654,Basic Industries,Engineering & Construction
ATH^A,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 6.35% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Share Series A,$29.73,0.12,0.41%,None,Bermuda,None,25035,None,None
AWK,American Water Works Company Inc. Common Stock,$170.73,0.38,0.22%,30982235833.0,United States,2008.0,406105,Public Utilities,Water Supply
ASG,Liberty All-Star Growth Fund Inc.,$8.50,0.02,0.24%,365220716.0,United States,None,194582,Finance,Investment Managers
